Year,Item,Item Code (CPC),Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha
1966,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1652,3400.0,2700.0,7941.0
1966,"Coconuts, in shell",1460,17000.0,65000.0,38235.0
1966,"Coffee, green",1610,85347.0,56900.0,6667.0
1966,"Cotton lint, ginned",1921.02,,4060.0,
1966,Cotton seed,143,,9350.0,
1966,Cottonseed oil,2168,,1378.47,
1966,Dates,1314,200.0,600.0,30000.0
1966,Green garlic,1252,7.0,100.0,142857.0
1966,"Groundnuts, excluding shelled",142,6200.0,3700.0,5968.0
1966,Linseed,1441,240.0,240.0,10000.0
1966,Maize (corn),112,1010000.0,1090000.0,10792.0
1966,"Mangoes, guavas and mangosteens",1316,200.0,700.0,35000.0
1966,Millet,118,74000.0,136000.0,18378.0
1966,Oats,117,4775.0,1118.0,2341.0
1966,"Onions and shallots, dry (excluding dehydrated)",1253.02,1000.0,2032.0,20320.0
1966,Oranges,1323,2000.0,7500.0,37500.0
1966,Papayas,1317,2900.0,30000.0,103448.0
1966,Pineapples,1318,1100.0,27000.0,245455.0
1966,Plantains and cooking bananas,1313,1000.0,10000.0,100000.0
1966,Pomelos and grapefruits,1321,500.0,3400.0,68000.0
1966,Potatoes,1510,27500.0,195000.0,70909.0
1966,"Pyrethrum, dried flowers",1930.02,21000.0,9621.0,4581.0
1966,Rice,113,2830.0,16600.0,58657.0
1966,"Seed cotton, unginned",1921.01,57466.0,13754.0,2393.0
1966,Sesame seed,1444,2870.0,1118.0,3895.0
1966,Sorghum,114,210000.0,231000.0,11000.0
1966,Sugar cane,1802,17120.0,654600.0,382360.0
1966,Sunflower seed,1445,1781.0,3270.0,18360.0
1966,Sweet potatoes,1530,28000.0,199000.0,71071.0
1966,Tea leaves,1620,27340.0,25419.0,9297.0
1966,Tomatoes,1234,2310.0,37000.0,160173.0
1966,Unmanufactured tobacco,1970,580.0,69.0,1190.0
1966,Wheat,111,108500.0,128400.0,11834.0
