Region,Item,Year,season_name,area,production,yield,yield_hg_per_ha,Temperature - (Celsius),Rainfall - (MM),pesticides_hg_per_ha
Busia,Rice,2017,Annual,1457.6,5081.2,3.4860043907793634,34860.04390779363,25.118588141025644,657.6096580769231,45.69536721437069
Busia,Rice,2018,Annual,800.8,2422.9,3.025599400599401,30255.99400599401,25.118588141025644,657.6096580769231,44.48960223297257
Busia,Rice,2019,Annual,1174.0,4680.0,3.9863713798977853,39863.71379897786,25.118588141025644,657.6096580769231,42.95506514819884
Busia,Rice,2020,Annual,1158.1,3552.15,3.0672221742509285,30672.221742509286,25.118588141025644,657.6096580769231,44.141159727891235
Busia,Sorghum,2012,Annual,12809.0,17751.96,1.3858974158794597,13858.974158794597,25.24515,756.213,41.003859238426436
Busia,Sorghum,2013,Annual,13109.0,17438.0,1.3302311389121977,13302.311389121976,25.182175,769.6913999999999,43.0178176764177
Busia,Sorghum,2014,Annual,12236.0,13427.0,1.097335730630925,10973.35730630925,25.41145,614.6785,44.686149022094995
Busia,Sorghum,2015,Annual,9777.0,17377.0,1.7773345607036923,17773.345607036925,25.537633333333332,771.9757,44.688853753396536
Busia,Sorghum,2015,Long,10522.0,10522.0,1.0,10000.0,25.183083333333332,395.9493,44.089616355320985
Busia,Sorghum,2016,Annual,9796.0,12158.0,1.2411188240098,12411.188240098,25.756608333333332,715.2022,42.35064769836269
Busia,Sorghum,2016,Long,9330.0,7557.3,0.81,8100.000000000001,25.4447,362.85080000000005,42.693057004329475
Busia,Sorghum,2017,Annual,10327.0,13465.6,1.3039217584971434,13039.217584971435,25.118588141025644,657.6096580769231,45.68717810492291
Busia,Sorghum,2018,Annual,10318.0,16995.5,1.6471699941849196,16471.699941849198,25.118588141025644,657.6096580769231,44.372496491414985
Busia,Sorghum,2019,Annual,9574.0,11059.66,1.1551765197409651,11551.765197409652,25.118588141025644,657.6096580769231,41.51508711060785
